#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163505.787;20180524-163427.922;32.882475;-117.234626;34.0;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.249;20180524-163427.922;32.882491;-117.234595;34.0;313.5;313.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.749;20180524-163427.922;32.882489;-117.234613;34.0;349.1;349.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.254;20180524-163427.922;32.882478;-117.234631;34.0;308.9;308.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.757;20180524-163427.922;32.882473;-117.234628;34.0;336.6;336.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.256;20180524-163427.922;32.882482;-117.234633;34.0;288.9;288.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.757;20180524-163427.922;32.882485;-117.234601;34.0;325.7;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.258;20180524-163427.922;32.882482;-117.234605;34.0;309.8;309.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.760;20180524-163427.922;32.882489;-117.234604;34.0;328.4;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163510.256;20180524-163510.533;32.882499;-117.23463;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163510.761;20180524-163510.533;32.88249;-117.234601;4.0;331.0;331.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163511.259;20180524-163512.000;32.882488;-117.234621;4.0;344.2;344.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163511.761;20180524-163512.000;32.882494;-117.234605;4.0;317.6;317.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163512.282;20180524-163513.000;32.882496;-117.2346;4.0;255.6;336.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163512.749;20180524-163513.000;32.882498;-117.234606;4.0;255.6;286.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163513.263;20180524-163514.000;32.882487;-117.234596;4.0;231.7;321.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163513.764;20180524-163514.000;32.882483;-117.234613;4.0;231.7;280.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163514.165;20180524-163515.000;32.8825;-117.234611;4.0;252.9;313.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163514.701;20180524-163516.000;32.882491;-117.234641;3.0;258.1;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163515.204;20180524-163516.000;32.882487;-117.234628;3.0;258.1;336.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163515.736;20180524-163517.000;32.882493;-117.234605;3.0;277.6;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163516.240;20180524-163517.000;32.882484;-117.234622;3.0;277.6;346.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163516.742;20180524-163518.000;32.882489;-117.234612;3.0;294.2;319.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163517.240;20180524-163518.000;32.882509;-117.234613;3.0;294.2;351.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163517.745;20180524-163519.000;32.882493;-117.234609;3.0;302.2;311.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163518.243;20180524-163519.000;32.882499;-117.234598;3.0;302.2;333.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163518.742;20180524-163520.000;32.882493;-117.234633;3.0;304.0;287.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163519.244;20180524-163520.000;32.882465;-117.234738;3.0;304.0;333.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163519.746;20180524-163521.000;32.882489;-117.234681;3.0;305.7;281.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163520.252;20180524-163521.000;32.882501;-117.234657;3.0;305.7;338.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163520.746;20180524-163522.000;32.882488;-117.23464;3.0;303.6;278.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163521.251;20180524-163522.000;32.882322;-117.234898;3.0;303.6;317.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163521.749;20180524-163523.000;32.882345;-117.234832;3.0;304.0;306.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163522.250;20180524-163523.000;32.882347;-117.234835;3.0;304.0;331.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163522.749;20180524-163524.000;32.882347;-117.234835;3.0;303.9;322.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163523.252;20180524-163524.000;32.882347;-117.23485;3.0;303.9;316.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163523.753;20180524-163525.000;32.882342;-117.234848;3.0;301.5;336.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163524.255;20180524-163525.000;32.882342;-117.234848;3.0;301.5;322.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163524.736;20180524-163526.000;32.882322;-117.234868;3.0;297.4;305.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163525.239;20180524-163526.000;32.88235;-117.234858;3.0;297.4;311.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163525.741;20180524-163527.000;32.88235;-117.234858;3.0;291.3;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163526.255;20180524-163527.000;32.882346;-117.234876;3.0;291.3;322.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163526.755;20180524-163528.000;32.882311;-117.234885;3.0;282.8;341.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163527.260;20180524-163528.000;32.882311;-117.234885;3.0;282.8;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163527.740;20180524-163529.000;32.882346;-117.23486;3.0;280.2;306.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163528.246;20180524-163529.000;32.882339;-117.234887;3.0;280.2;312.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
