#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;category;device muted;battery level
True;False;False;True;unity;DeviceLocationProvider;20220518-210207.941;20220518-210203.693;-22.80944440;-47.07795330;42.0;54.9;54.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210208.000;20220518-210203.693;-22.80944440;-47.07795330;42.0;54.9;54.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210208.514;20220518-210203.693;-22.80944440;-47.07795330;42.0;54.6;54.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210209.015;20220518-210203.693;-22.80944440;-47.07795330;42.0;54.7;54.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210209.524;20220518-210203.693;-22.80944440;-47.07795330;42.0;55.1;55.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210209.985;20220518-210203.693;-22.80944440;-47.07795330;42.0;51.0;51.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210210.501;20220518-210203.693;-22.80944440;-47.07795330;42.0;54.1;54.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210211.040;20220518-210203.693;-22.80944440;-47.07795330;42.0;57.5;57.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210211.524;20220518-210203.693;-22.80944440;-47.07795330;42.0;60.7;60.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210212.052;20220518-210203.693;-22.80944440;-47.07795330;42.0;60.0;60.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210212.538;20220518-210203.693;-22.80944440;-47.07795330;42.0;64.6;64.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210213.031;20220518-210203.693;-22.80944440;-47.07795330;42.0;65.3;65.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210213.573;20220518-210203.693;-22.80944440;-47.07795330;42.0;66.3;66.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210214.089;20220518-210203.693;-22.80944440;-47.07795330;42.0;66.6;66.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;True;True;unity;DeviceLocationProvider;20220518-210654.446;20220518-210213.768;-22.80943300;-47.07818600;38.0;66.6;66.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210655.620;20220518-210213.768;-22.80943300;-47.07818600;38.0;87.3;87.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210655.644;20220518-210213.768;-22.80943300;-47.07818600;38.0;87.3;87.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210655.977;20220518-210213.768;-22.80943300;-47.07818600;38.0;89.3;89.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210656.496;20220518-210213.768;-22.80943300;-47.07818600;38.0;91.2;91.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210656.993;20220518-210213.768;-22.80943300;-47.07818600;38.0;98.0;98.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210657.446;20220518-210213.768;-22.80943300;-47.07818600;38.0;98.3;98.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];pizza, pizza parlor, restaurant;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210658.249;20220518-210657.265;-22.81651690;-47.06824490;29.0;88.9;88.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210659.741;20220518-210657.265;-22.81651690;-47.06824490;29.0;67.3;67.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210700.572;20220518-210657.265;-22.81651690;-47.06824490;29.0;61.4;61.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210700.669;20220518-210657.265;-22.81651690;-47.06824490;29.0;61.4;61.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210700.695;20220518-210657.265;-22.81651690;-47.06824490;29.0;61.4;61.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210700.781;20220518-210657.265;-22.81651690;-47.06824490;29.0;56.2;56.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210700.996;20220518-210657.265;-22.81651690;-47.06824490;29.0;56.2;56.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210701.484;20220518-210657.265;-22.81651690;-47.06824490;29.0;57.0;57.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210701.972;20220518-210657.265;-22.81651690;-47.06824490;29.0;52.8;52.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210702.480;20220518-210657.265;-22.81651690;-47.06824490;29.0;52.8;52.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210703.002;20220518-210657.265;-22.81651690;-47.06824490;29.0;52.4;52.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210703.488;20220518-210657.265;-22.81651690;-47.06824490;29.0;56.2;56.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210703.988;20220518-210657.265;-22.81651690;-47.06824490;29.0;48.4;48.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210704.466;20220518-210657.265;-22.81651690;-47.06824490;29.0;43.4;43.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210705.016;20220518-210657.265;-22.81651690;-47.06824490;29.0;35.3;35.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210705.511;20220518-210657.265;-22.81651690;-47.06824490;29.0;33.1;33.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210705.997;20220518-210657.265;-22.81651690;-47.06824490;29.0;1.0;1.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210706.474;20220518-210657.265;-22.81651690;-47.06824490;29.0;332.8;332.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210707.003;20220518-210657.265;-22.81651690;-47.06824490;29.0;312.7;312.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210707.547;20220518-210657.265;-22.81651690;-47.06824490;29.0;312.1;312.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];bank, finance, financial;False;0.6
True;False;True;True;unity;DeviceLocationProvider;20220518-210708.261;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;302.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210708.508;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;314.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210709.081;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;319.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210709.513;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;329.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210710.044;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;333.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210710.575;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;341.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210711.063;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;346.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210711.551;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;4.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210712.066;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;19.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210712.573;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;32.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210713.061;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;33.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210713.589;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;36.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210714.100;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;36.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210714.580;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;28.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210715.093;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;20.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210715.629;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;16.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210716.121;20220518-210707.371;-22.81647000;-47.06791000;34.0;82.0;17.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;True;True;unity;DeviceLocationProvider;20220518-210716.872;20220518-210716.087;-22.81645200;-47.06772230;36.0;82.9;3.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210717.110;20220518-210716.087;-22.81645200;-47.06772230;36.0;83.4;16.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210717.652;20220518-210716.087;-22.81645200;-47.06772230;36.0;83.8;38.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210718.183;20220518-210716.087;-22.81645200;-47.06772230;36.0;84.0;54.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
